                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                  1.288,                0.60778,                 1.0346,                0.96261,                0.83619,                0.88527,                0.56931,                 1.3795,                 0.7561,                0.93531,                0.00538,                0.00538,                0.00538
                    142,                 1.2888,                0.60563,                 1.0346,                0.96136,                0.83768,                0.88571,                0.56971,                 1.3789,                0.75481,                 0.9352,               0.005347,               0.005347,               0.005347
                    143,                 1.2863,                0.60525,                 1.0349,                0.96221,                0.83735,                0.88612,                0.56994,                 1.3794,                0.75504,                0.93499,               0.005314,               0.005314,               0.005314
                    144,                 1.2847,                0.60394,                 1.0337,                 0.9622,                0.83767,                0.88624,                0.57053,                 1.3786,                0.75261,                0.93485,               0.005281,               0.005281,               0.005281
                    145,                 1.2826,                0.60383,                 1.0337,                0.96261,                0.83848,                0.88649,                0.57119,                  1.378,                0.74965,                0.93468,               0.005248,               0.005248,               0.005248
                    146,                 1.2833,                0.60487,                 1.0321,                0.96297,                0.83852,                0.88685,                0.57125,                 1.3776,                0.74636,                0.93465,               0.005215,               0.005215,               0.005215
                    147,                 1.2816,                0.60452,                  1.033,                0.96259,                0.83873,                0.88646,                0.57197,                 1.3771,                0.74702,                0.93488,               0.005182,               0.005182,               0.005182
                    148,                 1.2795,                0.60186,                 1.0322,                0.96236,                0.83812,                0.88608,                0.57219,                 1.3762,                0.74524,                0.93491,               0.005149,               0.005149,               0.005149
                    149,                 1.2783,                0.60291,                  1.032,                0.96332,                0.83804,                0.88616,                0.57239,                 1.3747,                0.74395,                0.93451,               0.005116,               0.005116,               0.005116
                    150,                 1.2828,                0.60395,                 1.0333,                 0.9632,                0.83873,                0.88676,                0.57293,                 1.3742,                0.74432,                0.93417,               0.005083,               0.005083,               0.005083
                    151,                 1.2783,                0.60179,                 1.0324,                0.96334,                0.83881,                 0.8865,                0.57316,                 1.3734,                  0.745,                  0.934,                0.00505,                0.00505,                0.00505
                    152,                 1.2758,                0.60049,                 1.0296,                0.96366,                0.83875,                0.88682,                0.57286,                 1.3739,                0.74824,                0.93378,               0.005017,               0.005017,               0.005017
                    153,                  1.276,                0.60204,                 1.0302,                0.96388,                0.83824,                0.88701,                0.57296,                 1.3718,                0.74755,                0.93355,               0.004984,               0.004984,               0.004984
